0.1,4321
0.9,797
0.8,890
0.7,843
0.6,1124
0.5,872
0.4,3191
0.3,4672
0.2,8554
0.1,30613
0.9,747
0.8,1095
0.7,1054
0.6,880
0.5,1595
0.4,3116
0.3,2250
0.2,4094
0.1,6973
0.9,747
0.8,642
0.7,843
0.6,1325
0.5,1414
0.4,2336
0.3,3612
0.9,650
0.8,650
0.7,832
0.6,1507
0.5,1014
0.4,2050
0.3,2691
0.2,2701
0.1,5678
0.9,650
0.8,833
0.7,1666
0.6,1319
0.5,26150
0.4,1252
0.3,1325
0.9,650
0.8,925
0.7,1540
0.6,1265
0.5,2053
0.4,1698
0.3,2715
0.9,650
0.8,739
0.7,809
0.6,1408
0.5,1756
0.4,1095
0.3,4883
