0.9,937
0.9,936
0.8,928
0.7,1053
0.6,1806
0.5,1938
0.4,2895
0.3,8242
0.2,6654
0.1,17690
0.9,937
0.8,878
0.7,1373
0.6,2465
0.5,2143
0.4,6024
0.3,3127
0.2,5180
0.1,17217
0.9,929
0.8,1648
0.7,1036
0.6,2267
0.5,1595
0.4,2800
0.3,3209
0.2,4634
0.1,9483
0.9,934
0.8,1120
0.7,1127
0.6,4581
0.5,1988
0.4,9790
0.3,4680
0.2,4649
0.9,1189
0.8,1440
0.7,1219
0.6,1473
0.5,2169
0.4,2440
0.3,3353
0.2,5633
0.9,996
0.8,1296
0.7,878
0.6,937
0.5,1717
0.4,2356
0.3,3787
