0,6,17,13,24,20,26,45,35,46,36,0,0,0,0
0,6,17,13,24,20,26,45,35,46,36,0,0,0,0
0,6,17,13,24,20,26,16,35,31,42,0,0,0,0
0,3,14,20,39,29,19,30,26,37,33,44,51,0,0
0,6,17,13,24,20,26,45,35,46,36,0,0,0,0
0,3,14,20,39,0,0,0,0,0,0,0,0,0,0
0,6,17,13,24,20,26,45,35,46,36,0,0,0,0
0,6,17,13,24,20,26,45,35,46,36,0,0,0,0
0,6,17,13,24,20,26,45,35,46,36,0,0,0,0
0,6,17,7,18,14,20,39,29,40,36,0,0,0,0
0,3,14,20,39,29,19,30,26,37,33,44,51,0,0
0,6,17,13,24,20,26,45,35,46,42,0,0,0,0
0,3,14,20,39,29,19,30,26,37,33,44,51,0,0
0,3,14,20,39,29,19,30,26,37,33,44,51,0,0
0,6,17,13,24,20,26,45,35,46,36,0,0,0,0
0,6,17,13,24,20,26,45,35,46,36,0,0,0,0
0,3,14,20,39,29,19,30,26,37,44,54,61,0,0
0,3,14,20,39,29,19,30,26,37,33,44,51,0,0
0,3,14,20,39,29,19,30,26,37,33,44,51,0,0
0,6,17,13,24,20,26,45,35,46,42,0,0,0,0
0,9,15,26,16,27,23,29,48,0,0,0,0,0,0
0,6,17,13,24,20,26,45,35,46,36,0,0,0,0
0,6,17,13,24,20,27,30,36,55,0,0,0,0,0
0,6,17,13,24,20,26,45,0,0,0,0,0,0,0
0,3,14,20,39,29,19,30,26,37,33,44,51,0,0
0,6,17,13,24,20,26,26,45,35,46,0,0,0,0
0,6,17,13,24,20,26,45,35,46,36,0,0,0,0
0,6,17,13,24,20,26,26,45,35,46,0,0,0,0
0,3,14,20,39,29,19,30,26,37,33,44,51,0,0
0,3,14,20,39,29,19,30,26,37,44,54,61,0,0
