0.9,860
0.8,1137
0.7,1231
0.6,1693
0.5,2368
0.4,4720
0.3,2640
0.2,3924
0.1,10421
0.9,954
0.8,764
0.7,946
0.6,858
0.5,1586
0.4,1600
0.3,1986
0.2,5592
0.1,10618
0.9,764
0.8,764
0.7,1019
0.6,1048
0.5,1332
0.4,950
0.3,3250
0.2,3330
0.1,6933
0.9,764
0.8,859
0.7,854
0.6,1143
0.5,1135
0.4,3489
0.3,4320
0.2,4711
0.1,10346
0.9,949
0.8,1050
0.7,1038
0.6,856
0.5,2290
0.4,1322
0.3,3083
0.2,6656
0.1,5725
0.9,859
0.8,762
0.7,764
0.6,1227
0.5,1327
0.4,1234
0.3,3331
0.2,4509
0.1,7028
0.9,856
0.8,856
0.7,1152
0.6,1323
0.5,1530
0.4,3270
0.3,4482
0.2,5642
0.1,7916
0.9,764
0.8,855
0.7,955
0.6,1660
0.5,1784
0.4,1130
0.3,1612
0.2,3292
0.1,8028
0.9,1143
0.8,1514
0.7,1046
0.6,860
0.5,733
0.4,1401
0.3,2235
0.2,5353
0.1,4989
0.9,764
0.8,956
0.7,859
0.6,1976
0.5,1235
0.4,2319
0.3,5183
0.2,6903
0.1,8355
0.99,764
0.98,764
0.97,764
0.96,764
0.95,764
0.94,764
0.93,764
0.92,764
0.91,764
0.99,764
0.98,764
0.97,764
0.96,954
0.95,764
0.94,764
0.93,942
0.92,764
0.91,855
0.99,764
0.98,764
0.97,764
0.96,764
0.95,764
0.94,858
0.93,764
0.92,858
0.91,860
0.99,764
0.98,764
0.97,764
0.96,764
0.95,954
0.94,764
0.93,764
0.92,952
0.91,764
0.99,764
0.98,858
0.97,764
0.96,955
0.95,764
0.94,764
0.93,860
0.92,859
0.91,856
0.99,764
0.98,860
0.97,858
0.96,860
0.95,764
0.94,764
0.93,1053
0.92,764
0.91,1049
0.99,764
0.98,764
0.97,764
0.96,764
0.95,764
0.94,954
0.93,858
0.92,858
0.91,954
0.99,764
0.98,764
0.97,764
0.96,860
0.95,764
0.94,859
0.93,764
0.92,764
0.91,1046
0.99,764
0.98,764
0.97,764
0.96,859
0.95,764
0.94,858
0.93,764
0.92,952
0.91,764
0.99,764
0.98,764
0.97,764
0.96,860
0.95,764
0.94,764
0.93,949
0.92,764
0.91,764
1,764
1,764
1,764
1,764
1,764
1,764
1,764
1,764
1,764
1,764
